scale,dataset,family,arm,n_queries,misselection_rate,regret_median,regret_p90,regret_max,ms_lost_total,ms_lost_max,q_error_median,q_error_max
1m,dep10,range,all_no_brin,5,0.0,1.0027851458885941,1.053002205592649,1.0741885625965997,0.7089999999999992,0.8399999999999999,1.0321697044588611,1.07281037414966
1m,dep10,ts_range,all,5,0.8,2.6284442182928385,9.396044837292727,12.905311491685282,147.06650000000002,47.966499999999996,1.0091937551090433,1.0317
1m,dep10,ts_range,all_no_brin,5,0.0,0.9614954316613836,1.0332862821653654,1.0748765027322404,0.4744999999999968,4.2819999999999965,1.00521,1.0407
1m,phys05,range,all,5,1.0,2.8112732919254655,8.877262860028686,12.273118858527392,137.67849999999999,41.873999999999995,1.0128738884397737,1.0249101575698008
1m,phys05,range,all_no_brin,5,0.0,1.020014548477606,1.0426659615791396,1.053035401803742,1.0060000000000118,0.48150000000000404,1.0166690368323752,1.086086301517271
1m,phys05,ts_range,all,5,0.8,4.089507022858717,13.920993276470423,18.78162098783526,206.173,60.66199999999999,1.0210645619122498,1.07469102632993
1m,phys05,ts_range,all_no_brin,5,0.0,0.9901820667370909,1.0333223652314567,1.0565164975161814,2.11950000000001,3.305000000000007,1.036665,1.0925
1m,phys095,range,all,5,1.0,3.246836793804689,9.718683714887202,13.01313832424393,175.527,48.461000000000006,1.0080253641137422,1.025699862322166
1m,phys095,range,all_no_brin,5,0.0,0.9870587994011362,1.0120967395794334,1.0125185919682698,-1.1399999999999944,0.13049999999999962,1.0045294012011892,1.0482512632517587
1m,phys095,ts_range,all,4,0.25,1.0541091224869301,1.4622014286691136,1.6229542814908668,27.022999999999996,26.549999999999997,1.00928,1.01719
1m,phys095,ts_range,all_no_brin,4,0.0,0.9619127898953566,0.9777298292522273,0.9844554722603502,-2.4280000000000044,-0.15549999999999997,1.00625773768094,1.02042
1m,phys10,range,all,5,1.0,3.222755784987544,9.917250217543303,13.61768920151101,174.349,48.43300000000001,1.0074135502113162,1.030615277915387
1m,phys10,range,all_no_brin,5,0.0,1.0267232767232768,1.0435423762112197,1.0473003391458324,1.4190000000000005,0.7879999999999967,1.0118669766501567,1.0209260930989283
1m,phys10,ts_range,all,4,0.0,1.002561190024562,1.0821108109877486,1.111934675298713,3.518499999999999,3.639499999999998,1.0177775,1.02901
1m,phys10,ts_range,all_no_brin,4,0.0,0.9852493162855147,1.008543437642359,1.0168013948327785,-0.9654999999999943,0.052999999999999936,1.0063149999999998,1.02638
1m,skew05,eq,all,1,0.0,0.43312387791741475,0.43312387791741475,0.43312387791741475,-1.263,-1.263,1.0245078344716754,1.0245078344716754
1m,skew05,eq,all_no_brin,1,0.0,0.8078994614003591,0.8078994614003591,0.8078994614003591,-0.42799999999999994,-0.42799999999999994,1.0178786661309762,1.0178786661309762
1m,skew05,range,all,5,1.0,2.784804740920832,7.641617740213718,10.26542639241969,135.66899999999998,40.091499999999996,1.02781,1.0309278350515463
1m,skew05,range,all_no_brin,5,0.0,0.9486942454356369,0.9702238889773394,0.978231123274039,-4.236499999999998,-0.22199999999999953,1.0166010958959815,1.0664619059807183
1m,skew05,ts_range,all,5,0.8,3.1069400821454463,8.408394926247002,11.184390025718438,144.741,45.539500000000004,1.0264,1.0425
1m,skew05,ts_range,all_no_brin,5,0.0,0.9976443585407104,1.0004293597041174,1.0014336917562723,-1.4194999999999922,0.01699999999999946,1.003385,1.0545186122535062
1m,skew10,eq,all,1,1.0,3.1747400632889384,3.1747400632889384,3.1747400632889384,31.269499999999997,31.269499999999997,1.026968585488092,1.026968585488092
1m,skew10,eq,all_no_brin,1,0.0,1.0129707549466218,1.0129707549466218,1.0129707549466218,0.18650000000000055,0.18650000000000055,1.0003543307086613,1.0003543307086613
1m,skew10,range,all,5,1.0,3.2214228882111122,10.457957221653828,14.54060813479005,164.2155,51.434000000000005,1.007815,1.0185166323766066
1m,skew10,range,all_no_brin,5,0.0,1.015166045899592,1.019276013971767,1.0202580824198697,1.3865000000000012,0.6799999999999997,1.0031,1.02708421063443
1m,skew10,ts_range,all,5,0.6,2.304443620789062,4.238350703743844,4.8021412300683375,110.1795,41.728500000000004,1.0178945868365872,1.0694043417816277
1m,skew10,ts_range,all_no_brin,5,0.0,1.0127988484165726,1.0450797851051659,1.0483371298405466,1.7415000000000065,0.7160000000000082,1.0078003749017395,1.0158
1m,skew15,eq,all,1,1.0,1.7675136319298972,1.7675136319298972,1.7675136319298972,23.998999999999995,23.998999999999995,1.0003168831168832,1.0003168831168832
1m,skew15,eq,all_no_brin,1,0.0,1.056350640420871,1.056350640420871,1.056350640420871,1.7620000000000005,1.7620000000000005,1.0008367983367983,1.0008367983367983
1m,skew15,range,all,5,1.0,3.519613286736127,10.084020838642687,13.553992906934083,175.2765,51.327,1.02869,1.0618
1m,skew15,range,all_no_brin,5,0.0,1.053989613613352,1.0676083671059096,1.0676255527825211,4.389999999999997,1.5444999999999993,1.010495,1.0385
1m,skew15,ts_range,all,5,0.6,2.0685827552031713,3.861691566642336,4.370141838288324,107.96549999999999,42.056,1.0076074361428788,1.0804970286331712
1m,skew15,ts_range,all_no_brin,5,0.0,0.96224029899967,1.0130285253749003,1.0151736258218393,-1.8980000000000086,0.9669999999999987,1.01048,1.02044
